date,year,month,decimal_year,toa_net_flux_w_m2,ASR
2007-06-01,2007,6,2007.458333,0.370000,0.322500
2007-07-01,2007,7,2007.541667,0.150000,0.317500
2007-08-01,2007,8,2007.625000,0.780000,0.332500
2007-09-01,2007,9,2007.708333,0.850000,0.400000
2007-10-01,2007,10,2007.791667,0.080000,0.305000
2007-11-01,2007,11,2007.875000,0.730000,0.394167
2007-12-01,2007,12,2007.958333,1.370000,0.485833
2008-01-01,2008,1,2008.041667,1.160000,0.532500
2008-02-01,2008,2,2008.125000,0.870000,0.601667
2008-03-01,2008,3,2008.208333,-0.570000,0.511667
2008-04-01,2008,4,2008.291667,0.490000,0.560833
2008-05-01,2008,5,2008.375000,-0.450000,0.485833
2008-06-01,2008,6,2008.458333,0.020000,0.456667
2008-07-01,2008,7,2008.541667,-0.470000,0.405000
2008-08-01,2008,8,2008.625000,-0.160000,0.326667
2008-09-01,2008,9,2008.708333,1.220000,0.357500
2008-10-01,2008,10,2008.791667,0.080000,0.357500
2008-11-01,2008,11,2008.875000,0.820000,0.365000
2008-12-01,2008,12,2008.958333,-0.450000,0.213333
2009-01-01,2009,1,2009.041667,0.330000,0.144167
2009-02-01,2009,2,2009.125000,0.270000,0.094167
2009-03-01,2009,3,2009.208333,0.490000,0.182500
2009-04-01,2009,4,2009.291667,0.090000,0.149167
2009-05-01,2009,5,2009.375000,-0.400000,0.153333
2009-06-01,2009,6,2009.458333,-0.470000,0.112500
2009-07-01,2009,7,2009.541667,0.320000,0.178333
2009-08-01,2009,8,2009.625000,-0.050000,0.187500
2009-09-01,2009,9,2009.708333,1.130000,0.180000
2009-10-01,2009,10,2009.791667,0.500000,0.215000
2009-11-01,2009,11,2009.875000,0.990000,0.229167
2009-12-01,2009,12,2009.958333,0.400000,0.300000
2010-01-01,2010,1,2010.041667,0.970000,0.353333
2010-02-01,2010,2,2010.125000,1.000000,0.414167
2010-03-01,2010,3,2010.208333,0.590000,0.422500
2010-04-01,2010,4,2010.291667,0.370000,0.445833
2010-05-01,2010,5,2010.375000,0.690000,0.536667
2010-06-01,2010,6,2010.458333,0.830000,0.645000
2010-07-01,2010,7,2010.541667,1.090000,0.709167
2010-08-01,2010,8,2010.625000,0.960000,0.793333
2010-09-01,2010,9,2010.708333,0.710000,0.758333
2010-10-01,2010,10,2010.791667,0.810000,0.784167
2010-11-01,2010,11,2010.875000,0.830000,0.770833
2010-12-01,2010,12,2010.958333,0.630000,0.790000
2011-01-01,2011,1,2011.041667,0.710000,0.768333
2011-02-01,2011,2,2011.125000,0.640000,0.738333
2011-03-01,2011,3,2011.208333,-0.080000,0.682500
2011-04-01,2011,4,2011.291667,0.390000,0.684167
2011-05-01,2011,5,2011.375000,0.690000,0.684167
2011-06-01,2011,6,2011.458333,1.240000,0.718333
2011-07-01,2011,7,2011.541667,0.200000,0.644167
2011-08-01,2011,8,2011.625000,0.040000,0.567500
2011-09-01,2011,9,2011.708333,0.020000,0.510000
2011-10-01,2011,10,2011.791667,-0.370000,0.411667
2011-11-01,2011,11,2011.875000,0.650000,0.396667
2011-12-01,2011,12,2011.958333,1.790000,0.493333
2012-01-01,2012,1,2012.041667,0.160000,0.447500
2012-02-01,2012,2,2012.125000,-0.220000,0.375833
2012-03-01,2012,3,2012.208333,0.850000,0.453333
2012-04-01,2012,4,2012.291667,0.410000,0.455000
2012-05-01,2012,5,2012.375000,-0.540000,0.352500
2012-06-01,2012,6,2012.458333,-0.520000,0.205833
2012-07-01,2012,7,2012.541667,0.330000,0.216667
2012-08-01,2012,8,2012.625000,0.270000,0.235833
2012-09-01,2012,9,2012.708333,0.390000,0.266667
2012-10-01,2012,10,2012.791667,-0.610000,0.246667
2012-11-01,2012,11,2012.875000,0.230000,0.211667
2012-12-01,2012,12,2012.958333,0.140000,0.074167
2013-01-01,2013,1,2013.041667,1.140000,0.155833
2013-02-01,2013,2,2013.125000,0.580000,0.222500
2013-03-01,2013,3,2013.208333,0.220000,0.170000
2013-04-01,2013,4,2013.291667,0.790000,0.201667
2013-05-01,2013,5,2013.375000,0.350000,0.275833
2013-06-01,2013,6,2013.458333,0.920000,0.395833
2013-07-01,2013,7,2013.541667,0.740000,0.430000
2013-08-01,2013,8,2013.625000,0.070000,0.413333
2013-09-01,2013,9,2013.708333,0.730000,0.441667
2013-10-01,2013,10,2013.791667,0.280000,0.515833
2013-11-01,2013,11,2013.875000,0.640000,0.550000
2013-12-01,2013,12,2013.958333,0.130000,0.549167
2014-01-01,2014,1,2014.041667,0.540000,0.499167
2014-02-01,2014,2,2014.125000,0.590000,0.500000
2014-03-01,2014,3,2014.208333,-0.100000,0.473333
2014-04-01,2014,4,2014.291667,0.140000,0.419167
2014-05-01,2014,5,2014.375000,0.100000,0.398333
2014-06-01,2014,6,2014.458333,0.650000,0.375833
2014-07-01,2014,7,2014.541667,0.680000,0.370833
2014-08-01,2014,8,2014.625000,-0.510000,0.322500
2014-09-01,2014,9,2014.708333,0.060000,0.266667
2014-10-01,2014,10,2014.791667,-0.340000,0.215000
2014-11-01,2014,11,2014.875000,0.230000,0.180833
2014-12-01,2014,12,2014.958333,0.790000,0.235833
2015-01-01,2015,1,2015.041667,0.440000,0.227500
2015-02-01,2015,2,2015.125000,-0.080000,0.171667
2015-03-01,2015,3,2015.208333,0.270000,0.202500
2015-04-01,2015,4,2015.291667,-0.120000,0.180833
2015-05-01,2015,5,2015.375000,-0.380000,0.140833
2015-06-01,2015,6,2015.458333,0.140000,0.098333
2015-07-01,2015,7,2015.541667,-0.490000,0.000833
2015-08-01,2015,8,2015.625000,-0.710000,-0.015833
2015-09-01,2015,9,2015.708333,-0.800000,-0.087500
2015-10-01,2015,10,2015.791667,-0.800000,-0.125833
2015-11-01,2015,11,2015.875000,0.030000,-0.142500
2015-12-01,2015,12,2015.958333,-0.130000,-0.219167
2016-01-01,2016,1,2016.041667,-0.020000,-0.257500
2016-02-01,2016,2,2016.125000,0.150000,-0.238333
2016-03-01,2016,3,2016.208333,0.050000,-0.256667
2016-04-01,2016,4,2016.291667,-0.730000,-0.307500
2016-05-01,2016,5,2016.375000,-0.300000,-0.300833
2016-06-01,2016,6,2016.458333,-0.990000,-0.395000
2016-07-01,2016,7,2016.541667,-0.490000,-0.395000
2016-08-01,2016,8,2016.625000,-0.180000,-0.350833
2016-09-01,2016,9,2016.708333,-0.260000,-0.305833
2016-10-01,2016,10,2016.791667,-0.280000,-0.262500
2016-11-01,2016,11,2016.875000,-0.840000,-0.335000
2016-12-01,2016,12,2016.958333,-0.540000,-0.369167
2017-01-01,2017,1,2017.041667,-1.640000,-0.504167
2017-02-01,2017,2,2017.125000,-1.350000,-0.629167
2017-03-01,2017,3,2017.208333,-0.600000,-0.683333
2017-04-01,2017,4,2017.291667,-0.990000,-0.705000
2017-05-01,2017,5,2017.375000,-0.410000,-0.714167
2017-06-01,2017,6,2017.458333,-0.510000,-0.674167
2017-07-01,2017,7,2017.541667,-0.790000,-0.699167
2017-08-01,2017,8,2017.625000,0.350000,-0.655000
2017-09-01,2017,9,2017.708333,0.120000,-0.623333
2017-10-01,2017,10,2017.791667,0.550000,-0.554167
2017-11-01,2017,11,2017.875000,0.200000,-0.467500
2017-12-01,2017,12,2017.958333,0.380000,-0.390833
2018-01-01,2018,1,2018.041667,-0.240000,-0.274167
2018-02-01,2018,2,2018.125000,0.730000,-0.100833
2018-03-01,2018,3,2018.208333,0.080000,-0.044167
2018-04-01,2018,4,2018.291667,-1.160000,-0.058333
2018-05-01,2018,5,2018.375000,-0.620000,-0.075833
2018-06-01,2018,6,2018.458333,0.230000,-0.014167
2018-07-01,2018,7,2018.541667,-0.070000,0.045833
2018-08-01,2018,8,2018.625000,0.330000,0.044167
2018-09-01,2018,9,2018.708333,-0.790000,-0.031667
2018-10-01,2018,10,2018.791667,-0.720000,-0.137500
2018-11-01,2018,11,2018.875000,-0.730000,-0.215000
2018-12-01,2018,12,2018.958333,-1.080000,-0.336667
2019-01-01,2019,1,2019.041667,-0.270000,-0.339167
2019-02-01,2019,2,2019.125000,-0.760000,-0.463333
2019-03-01,2019,3,2019.208333,-1.030000,-0.555833
2019-04-01,2019,4,2019.291667,-0.600000,-0.509167
2019-05-01,2019,5,2019.375000,-1.010000,-0.541667
2019-06-01,2019,6,2019.458333,-0.370000,-0.591667
2019-07-01,2019,7,2019.541667,-0.860000,-0.657500
2019-08-01,2019,8,2019.625000,-0.500000,-0.726667
2019-09-01,2019,9,2019.708333,-1.190000,-0.760000
2019-10-01,2019,10,2019.791667,-1.670000,-0.839167
2019-11-01,2019,11,2019.875000,-0.970000,-0.859167
2019-12-01,2019,12,2019.958333,-1.180000,-0.867500
2020-01-01,2020,1,2020.041667,0.110000,-0.835833
2020-02-01,2020,2,2020.125000,-0.410000,-0.806667
2020-03-01,2020,3,2020.208333,-0.930000,-0.798333
2020-04-01,2020,4,2020.291667,-1.210000,-0.849167
2020-05-01,2020,5,2020.375000,-1.310000,-0.874167
2020-06-01,2020,6,2020.458333,-0.870000,-0.915833
2020-07-01,2020,7,2020.541667,-0.240000,-0.864167
2020-08-01,2020,8,2020.625000,-1.080000,-0.912500
2020-09-01,2020,9,2020.708333,-0.230000,-0.832500
2020-10-01,2020,10,2020.791667,0.490000,-0.652500
2020-11-01,2020,11,2020.875000,-0.150000,-0.584167
2020-12-01,2020,12,2020.958333,0.470000,-0.446667
2021-01-01,2021,1,2021.041667,0.290000,-0.431667
2021-02-01,2021,2,2021.125000,-0.470000,-0.436667
2021-03-01,2021,3,2021.208333,-0.870000,-0.431667
2021-04-01,2021,4,2021.291667,-0.550000,-0.376667
2021-05-01,2021,5,2021.375000,-0.310000,-0.293333
2021-06-01,2021,6,2021.458333,-1.170000,-0.318333
2021-07-01,2021,7,2021.541667,-0.210000,-0.315833
2021-08-01,2021,8,2021.625000,-0.860000,-0.297500
2021-09-01,2021,9,2021.708333,-0.440000,-0.315000
2021-10-01,2021,10,2021.791667,-0.830000,-0.425000
2021-11-01,2021,11,2021.875000,-0.960000,-0.492500
2021-12-01,2021,12,2021.958333,-0.020000,-0.533333
2022-01-01,2022,1,2022.041667,-0.570000,-0.605000
2022-02-01,2022,2,2022.125000,-0.960000,-0.645833
2022-03-01,2022,3,2022.208333,-0.500000,-0.615000
2022-04-01,2022,4,2022.291667,-0.540000,-0.614167
2022-05-01,2022,5,2022.375000,-0.040000,-0.591667
2022-06-01,2022,6,2022.458333,-1.390000,-0.610000
2022-07-01,2022,7,2022.541667,-0.120000,-0.602500
2022-08-01,2022,8,2022.625000,-0.370000,-0.561667
2022-09-01,2022,9,2022.708333,-0.490000,-0.565833
2022-10-01,2022,10,2022.791667,-0.590000,-0.545833
2022-11-01,2022,11,2022.875000,-0.700000,-0.524167
2022-12-01,2022,12,2022.958333,-1.280000,-0.629167
2023-01-01,2023,1,2023.041667,-1.530000,-0.709167
2023-02-01,2023,2,2023.125000,-1.020000,-0.714167
2023-03-01,2023,3,2023.208333,-1.460000,-0.794167
2023-04-01,2023,4,2023.291667,-1.190000,-0.848333
2023-05-01,2023,5,2023.375000,-0.550000,-0.890833
2023-06-01,2023,6,2023.458333,-1.570000,-0.905833
2023-07-01,2023,7,2023.541667,-1.600000,-1.029167
2023-08-01,2023,8,2023.625000,-2.140000,-1.176667
2023-09-01,2023,9,2023.708333,-1.970000,-1.300000
2023-10-01,2023,10,2023.791667,-1.830000,-1.403333
2023-11-01,2023,11,2023.875000,-1.270000,-1.450833
2023-12-01,2023,12,2023.958333,-1.190000,-1.443333
2024-01-01,2024,1,2024.041667,-0.500000,-1.357500
2024-02-01,2024,2,2024.125000,-0.630000,-1.325000
2024-03-01,2024,3,2024.208333,-0.440000,-1.240000
2024-04-01,2024,4,2024.291667,-0.780000,-1.205833
2024-05-01,2024,5,2024.375000,-0.400000,-1.193333
2024-06-01,2024,6,2024.458333,-0.930000,-1.140000
2024-07-01,2024,7,2024.541667,-0.370000,-1.037500
2024-08-01,2024,8,2024.625000,-1.250000,-0.963333
2024-09-01,2024,9,2024.708333,-1.170000,-0.896667
2024-10-01,2024,10,2024.791667,-1.020000,-0.829167
2024-11-01,2024,11,2024.875000,-1.240000,-0.826667
2024-12-01,2024,12,2024.958333,-0.850000,-0.798333
2025-01-01,2025,1,2025.041667,-2.190000,-0.939167
2025-02-01,2025,2,2025.125000,-1.310000,-0.995833
2025-03-01,2025,3,2025.208333,-1.760000,-1.105833
2025-04-01,2025,4,2025.291667,-0.780000,-1.105833
2025-05-01,2025,5,2025.375000,-0.380000,-1.104167
2025-06-01,2025,6,2025.458333,-0.930000,-1.104167
2025-07-01,2025,7,2025.541667,-0.870000,-1.145833
2025-08-01,2025,8,2025.625000,-1.240000,-1.145000
2025-09-01,2025,9,2025.708333,-1.460000,-1.169167
2025-10-01,2025,10,2025.791667,-1.020000,-1.169167
2025-11-01,2025,11,2025.875000,-1.500000,-1.190833
2025-12-01,2025,12,2025.958333,-1.520000,-1.246667
2026-01-01,2026,1,2026.041667,-1.890000,-1.221667
2026-02-01,2026,2,2026.125000,-2.140000,-1.290833
